category_id,category_name,category_slug,url
20,ضروری اعلانات,%D8%B6%D8%B1%D9%88%D8%B1%DB%8C-%D8%A7%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA,https://www.urduweb.org/mehfil/forums/%D8%B6%D8%B1%D9%88%D8%B1%DB%8C-%D8%A7%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA.20/
167,محفل فورم ٹیوٹوریل,%D9%85%D8%AD%D9%81%D9%84-%D9%81%D9%88%D8%B1%D9%85-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84,https://www.urduweb.org/mehfil/forums/%D9%85%D8%AD%D9%81%D9%84-%D9%81%D9%88%D8%B1%D9%85-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84.167/
39,تعارف و انٹرویو,%D8%AA%D8%B9%D8%A7%D8%B1%D9%81-%D9%88-%D8%A7%D9%86%D9%B9%D8%B1%D9%88%DB%8C%D9%88,https://www.urduweb.org/mehfil/forums/%D8%AA%D8%B9%D8%A7%D8%B1%D9%81-%D9%88-%D8%A7%D9%86%D9%B9%D8%B1%D9%88%DB%8C%D9%88.39/
70,تہنیتی پیغامات و دعائیہ کلمات,%D8%AA%DB%81%D9%86%DB%8C%D8%AA%DB%8C-%D9%BE%DB%8C%D8%BA%D8%A7%D9%85%D8%A7%D8%AA-%D9%88-%D8%AF%D8%B9%D8%A7%D8%A6%DB%8C%DB%81-%DA%A9%D9%84%D9%85%D8%A7%D8%AA,https://www.urduweb.org/mehfil/forums/%D8%AA%DB%81%D9%86%DB%8C%D8%AA%DB%8C-%D9%BE%DB%8C%D8%BA%D8%A7%D9%85%D8%A7%D8%AA-%D9%88-%D8%AF%D8%B9%D8%A7%D8%A6%DB%8C%DB%81-%DA%A9%D9%84%D9%85%D8%A7%D8%AA.70/
256,ذکر محفلین,%D8%B0%DA%A9%D8%B1-%D9%85%D8%AD%D9%81%D9%84%DB%8C%D9%86,https://www.urduweb.org/mehfil/forums/%D8%B0%DA%A9%D8%B1-%D9%85%D8%AD%D9%81%D9%84%DB%8C%D9%86.256/
257,ذکر اردو محفل,%D8%B0%DA%A9%D8%B1-%D8%A7%D8%B1%D8%AF%D9%88-%D9%85%D8%AD%D9%81%D9%84,https://www.urduweb.org/mehfil/forums/%D8%B0%DA%A9%D8%B1-%D8%A7%D8%B1%D8%AF%D9%88-%D9%85%D8%AD%D9%81%D9%84.257/
165,محفل کی سالگرہ,%D9%85%D8%AD%D9%81%D9%84-%DA%A9%DB%8C-%D8%B3%D8%A7%D9%84%DA%AF%D8%B1%DB%81,https://www.urduweb.org/mehfil/forums/%D9%85%D8%AD%D9%81%D9%84-%DA%A9%DB%8C-%D8%B3%D8%A7%D9%84%DA%AF%D8%B1%DB%81.165/
22,تجاویز، آراء و مسائل,%D8%AA%D8%AC%D8%A7%D9%88%DB%8C%D8%B2%D8%8C-%D8%A2%D8%B1%D8%A7%D8%A1-%D9%88-%D9%85%D8%B3%D8%A7%D8%A6%D9%84,https://www.urduweb.org/mehfil/forums/%D8%AA%D8%AC%D8%A7%D9%88%DB%8C%D8%B2%D8%8C-%D8%A2%D8%B1%D8%A7%D8%A1-%D9%88-%D9%85%D8%B3%D8%A7%D8%A6%D9%84.22/
255,آپ کی شکایات,%D8%A2%D9%BE-%DA%A9%DB%8C-%D8%B4%DA%A9%D8%A7%DB%8C%D8%A7%D8%AA,https://www.urduweb.org/mehfil/forums/%D8%A2%D9%BE-%DA%A9%DB%8C-%D8%B4%DA%A9%D8%A7%DB%8C%D8%A7%D8%AA.255/
21,لکھنے پڑھنے میں مدد,%D9%84%DA%A9%DA%BE%D9%86%DB%92-%D9%BE%DA%91%DA%BE%D9%86%DB%92-%D9%85%DB%8C%DA%BA-%D9%85%D8%AF%D8%AF,https://www.urduweb.org/mehfil/forums/%D9%84%DA%A9%DA%BE%D9%86%DB%92-%D9%BE%DA%91%DA%BE%D9%86%DB%92-%D9%85%DB%8C%DA%BA-%D9%85%D8%AF%D8%AF.21/
